Seconds,,Force Kn,Stress MPa,Strain 1,2,3,4
161,1,716.4,40.5,-756,-2523,312,224
162,1,721.9,40.9,-765,-2542,333,227
163,1,725.5,41.1,-772,-2558,369,231
164,1,729.3,41.3,-782,-2581,387,235
165,1,734.4,41.6,-794,-2601,363,241
166,1,738.4,41.8,-806,-2625,403,246
167,1,743.1,42.1,-816,-2645,421,252
168,1,746.7,42.3,-827,-2666,424,257
169,1,751.1,42.5,-838,-2686,444,263
170,1,755.6,42.8,-849,-2709,489,270
171,1,759.3,43.0,-862,-2731,517,276
172,1,762.9,43.2,-872,-2753,548,282
173,1,766.2,43.4,-883,-2778,600,289
174,1,770.3,43.6,-891,-2803,647,297
175,1,770.3,43.6,-898,-2825,689,306
176,1,770.9,43.6,-902,-2846,848,314
177,1,761.4,43.1,-899,-2857,1124,321
178,1,743.5,42.1,-889,-2847,1707,326
179,1,685.2,38.8,-874,-2779,3342,332
